exp_name,ring_type,task,input_type,dataset_task,method_name,epochs,lr,criterion,mae_with_std,rmse_with_std,mape_with_std,pearson_with_std
resnet-channels,ring1,hr,"['ir-filtered', 'ir-difference', 'ir-welch', 'red-filtered', 'red-difference', 'red-welch']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,6.57±0.61,12.01±4.50,8.59±0.80,0.57±0.05
resnet-channels,ring1,spo2,"['ir-filtered', 'ir-difference', 'ir-welch', 'red-filtered', 'red-difference', 'red-welch']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,2.21±0.14,3.18±1.22,2.38±0.16,0.30±0.06
resnet-channels,ring1,hr,"['ir-filtered', 'ir-difference', 'red-filtered', 'red-difference']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,6.54±0.67,12.88±5.19,8.58±0.89,0.54±0.05
resnet-channels,ring1,spo2,"['ir-filtered', 'ir-difference', 'red-filtered', 'red-difference']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,2.50±0.15,3.48±1.21,2.67±0.17,0.19±0.06
resnet-channels,ring1,hr,"['ir-filtered', 'ir-difference', 'red-filtered', 'red-difference']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,47.79±0.48,48.44±6.92,61.19±0.39,0.61±0.05
resnet-channels,ring1,spo2,"['ir-filtered', 'ir-difference', 'red-filtered', 'red-difference']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,64.51±0.22,64.61±5.21,67.18±0.13,-0.01±0.06
resnet-channels,ring1,hr,"['ir-filtered', 'ir-difference', 'red-filtered', 'red-difference']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,500,0.001,mse,9.85±0.95,18.53±6.85,12.83±1.26,0.35±0.06
resnet-channels,ring1,spo2,"['ir-filtered', 'ir-difference', 'red-filtered', 'red-difference']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,500,0.001,mse,4.90±0.10,5.20±1.03,5.11±0.11,0.22±0.06
resnet-channels,ring1,hr,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,500,0.001,mse,4.85±0.28,6.72±2.78,6.53±0.36,0.85±0.03
resnet-channels,ring1,spo2,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,500,0.001,mse,7.09±0.35,9.20±3.04,7.38±0.37,-0.03±0.06
resnet-channels,ring1,hr,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,3.48±0.30,6.02±2.83,4.48±0.35,0.83±0.03
resnet-channels,ring1,spo2,"['ir-filtered', 'red-filtered']","['sitting', 'spo2', 'deepsquat', 'talking', 'shaking_head', 'standing', 'striding']",resnet,200,0.001,mse,2.46±0.15,3.49±1.30,2.64±0.17,0.13±0.06
